Year,Item,Dry Cargo Liner,Dry Cargo Bulk Carrier,Oil Tanker,Passenger-cum-Cargo,Off-shore Supply,Specialised for Off-shore Services,Total
1980,No. of Vessels,38,,10,10,,,58
1980,GRT,128,,98,28,,,254
1980,DWT,,,,,,,
1981,No. of Vessels,39,,16,10,,,65
1981,GRT,119,,153,28,,,300
1981,DWT,,,,,,,
1982,No. of Vessels,39,,18,11,,,68
1982,GRT,120,,188,30,,,338
1982,DWT,,,,,,,
1983,No. of Vessels,41,,18,13,,,72
1983,GRT,113,,188,36,,,337
1983,DWT,,,,,,,
1984,No. of Vessels,41,,18,13,24,,96
1984,GRT,104,,188,36,27,,355
1984,DWT,,,,,,,
1985,No. of Vessels,24,,18,12,41,,95
1985,GRT,20,,191,35,50,,296
1985,DWT,,,,,,,
1986,No. of Vessels,27,,18,13,58,,116
1986,GRT,78,,191,44,69,,382
1986,DWT,,,,,,,
1987,No. of Vessels,31,,18,13,65,,127
1987,GRT,108,,191,44,95,,438
1987,DWT,,,,,,,
1988,No. of Vessels,35,,16,14,73,,138
1988,GRT,110,,174,39,120,,443
1988,DWT,,,,,,,
1989,No. of Vessels,35,,15,14,87,,151
1989,GRT,110,,171,39,157,,477
1989,DWT,,,,,,,
1990,No. of Vessels,32,6,15,14,63,31,162
1990,GRT,25,121,171,39,68,95,523
1990,DWT,45,189,268,20,76,71,675
1991,No. of Vessels,32,10,18,13,63,32,169
1991,GRT,25,127,193,49,68,95,561
1991,DWT,46,198,300,23,76,71,720
1992,No. of Vessels,38,20,16,12,67,33,187
1992,GRT,29,235,154,59,74,85,640
1992,DWT,52,384,235,26,85,62,850
1993,No. of Vessels,44,23,16,12,73,33,202
1993,GRT,32,217,154,59,91,85,642
1993,DWT,54,352,235,26,92,62,827
1994,No. of Vessels,61,13,17,13,74,27,206
1994,GRT,46,247,150,60,91,83,681
1994,DWT,66,410,234,26,92,63,897
1995,No. of Vessels,72,13,18,15,73,27,219
1995,GRT,60,247,155,60,89,83,698
1995,DWT,80,410,245,26,90,63,920
1996,No. of Vessels,88,12,17,15,71,27,231
1996,GRT,101,226,152,53,86,83,705
1996,DWT,72,369,240,23,87,63,860
1997,No. of Vessels,97,11,14,15,68,26,232
1997,GRT,107,192,138,52,83,78,654
1997,DWT,80,305,219,23,82,58,773
1998,No. of Vessels,109,12,15,15,69,26,247
1998,GRT,118,198,132,53,73,76,654
1998,DWT,89,313,213,23,81,57,782
1999,No. of Vessels,124,12,16,22,68,27,269
1999,GRT,129,194,139,68,73,77,680
1999,DWT,89,306,221,28,81,57,782
2000,No. of Vessels,164,12,16,23,69,28,312
2000,GRT,158,194,132,68,74,83,709
2000,DWT,128,306,172,28,85,61,780
2001,No. of Vessels,178,13,16,26,69,27,229
2001,GRT,184,205,118,71,74,79,731
2001,DWT,150,323,179,28,85,59,824
2002,No. of Vessels,261,9,17,33,73,31,424
2002,GRT,236,226,100,76,78,89,805
2002,DWT,195,350,150,26,96,53,870
2003,No. of Vessels,263,9,17,36,73,31,429
2003,GRT,236,226,100,77,78,89,806
2003,DWT,195,351,149,25,96,53,869
2004,No. of Vessels,282,9,16,37,78,32,454
2004,GRT,238,226,96,77,81,90,808
2004,DWT,187,350,144,25,98,54,858
2005,No. of Vessels,305,10,14,38,82,36,485
2005,GRT,248,234,85,77,85,87,816
2005,DWT,182.99,362.677,122.721,24.739,99.686,51.565,844.378
2006,No. of Vessels,332,10,15,46,87,36,526
2006,GRT,272,234,87,79,87,82,841
2006,DWT,203,363,131,26,102,47,872
2007,No. of Vessels,359,11,17,57,94,35,573
2007,GRT,303,234,88,92,95,81,893
2007,DWT,258,363,134,28,111,47,941
2008,No. of Vessels,385,11,17,69,99,35,616
2008,GRT,331,234,114,98,101,86,964
2008,DWT,285,363,155,29,122,47,1001
2009,No. of Vessels,409,12,18,81,104,38,662
2009,GRT,350,236,99,99,108,88,980
2009,DWT,293,365,132,29,125,50,994
2010,No. of Vessels,434,12,18,88,110,38,700
2010,GRT,364,237,99,106,119,88,1013
2010,DWT,294,365,132,29,134,51,1005
2011,No. of Vessels,476,15,19,89,113,38,750
2011,GRT,386,242,100,109,123,88,1048
2011,DWT,313,368,132,29,134,51,1027
2012,No. of Vessels,518,26,19,92,111,38,804
2012,GRT,426,240,100,112,121,88,1087
2012,DWT,364,368,132,29,120,51,1064
2013,No. of Vessels,545,31,18,94,105,42,835
2013,GRT,500,248,75,107,114,91,1135
2013,DWT,493,368,91,29,113,54,1148
2014,No. of Vessels,549,37,20,99,100,41,846
2014,GRT,520,258,97,143,110,90,1218
2014,DWT,512,379,121,34,108,54,1208
